,Name,Type,Image Link,Discription,Link
69,Nehru Planetarium,"['Museum', ' For Kids']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Nehru-Planetarium_Mumbai_417431_211_mumbai_218_168.jpg," Nehru Planetarium, a part of the famous Nehru Centre, was inaugurated on 3rd March 1977 by the former Prime Minister of India - Indira Gandhi. It features a Digistar 3 projector, which was installed around a decade ago, in the year 2003. Over the decades, the planetarium has grown into ... ", //www.makemytrip.com/travel-guide/mumbai/nehru-planetarium-museum.html 
70,Rajabai Clock Tower,['Landmark'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Rajabai Clock Tower is situated within the compound of Fort Campus in the University of Mumbai. Sir Gilbert Scott designed the structure of the tower, which bears resemblance to London’s Clock Tower – Big Ben. Its foundation stone was laid in the year 1869 and has been named after Premchand ... ", //www.makemytrip.com/travel-guide/mumbai/rajabai-clock-tower-landmarks.html 
71,Shree Balaji Mandir,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Shree Balaji Mandir is a popular shrine dedicated to Lord Balaji, who is also known as God Venkateswara (a form of Hindu deity Vishnu). Shree Balaji Foundation, a registered Charitable Public Trust, manages this religious site. Located at Charkop in Mumbai, the shrine is thronged by pilgrims all around the ... ", //www.makemytrip.com/travel-guide/mumbai/shree-balaji-mandir-religious.html 
72,St. Thomas Cathedral,['Religious'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/St-Thomas-Cathedral_417440_211_mumbai_218_168.jpg," St. Thomas Cathedral earns fame as the first Anglican church of erstwhile Bombay. It is a glorious testament of the several hundred years, during which the city stayed under the reign of the British East India Company. Named after Saint Thomas, one of the 12 apostles of Jesus Christ, this ... ", //www.makemytrip.com/travel-guide/mumbai/st-thomas-cathedral-religious.html 
73,Taraporewala Aquarium,['Zoo/Aquarium'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Taraporewala Aquarium, built in the year 1951, boasts of rich aquatic life. Dr. Rajendra Prasad, the first President of India, did the formal opening of this aquarium. It has been named after the Parsee man who donated around Rs. 200000 for the construction of this aquarium. On display are more ... ", //www.makemytrip.com/travel-guide/mumbai/taraporewala-aquarium-zoo-and-aquariums.html 
74,Tower of Silence,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Tower-of-silence_417445_211_mumbai_218_168.jpg," The Tower of Silence, also known as Parsee Bawdi, is a sprawling graveyard that is situated in the posh Malabar Hill region of the city. Covering an area of 55 acres, this funeral ground is where the last rites of people belonging to the Parsee community are performed. ... ", //www.makemytrip.com/travel-guide/mumbai/tower-of-silence-landmarks.html 
75,Town Hall Asiatic Society Library,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Town-Hall-Asiatic-Society-Library_Mumbai_417446_211_mumbai_218_168.jpg," Overlooking the famous Horniman Circle Gardens in Mumbai's Fort area, Town Hall is one of the living reminders of Victorian Bombay. This colonial building was constructed in 1833 with funds from the Literary Society of Bombay and central government. Presently known as the Asiatic Society of Bombay, this learned group ... ", //www.makemytrip.com/travel-guide/mumbai/town-hall-asiatic-society-library-landmarks.html 
76,Walkeshwar Temple,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Walkeshwar Temple, also known as the Banganga Temple, is an esteemed place of worship for Hindus. Lord Shiva is the prime deity of this temple, which lies in the South Mumbai region of the metropolis. As per legends, Lord Rama stopped here, while going to Lanka on His search for ... ", //www.makemytrip.com/travel-guide/mumbai/walkeshwar-temple-religious.html 
77,Asia Society,['Cultural'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg, Asia Society in Mumbai is a premier educational organisation and cultural centre dedicated towards the promotion and expression of creative ideas. It is affiliated to the acclaimed Asia Society of New York which was founded in 1956 and has international presence across several nations. It aims at forming strong bonds ... , //www.makemytrip.com/travel-guide/mumbai/asia-society-cultural.html 
78,Babington Point,['Landmark'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Located at an elevation of 1294 metres above the sea level, Babington Point is a beautiful viewpoint on Tapola Road. Just 2.5 kilometres away from the main market, this site is easily accessible from any part of the hill station. The path leading to this enchanting destination is itself quite ... ", //www.makemytrip.com/travel-guide/mumbai/babington-point-landmarks.html 
79,Colaba,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Colaba_mumbai_417453_211_mumbai_218_168.jpg," Sprawling in Mumbai's southernmost peninsula, Colaba is a bustling district that is packed with heritage sites, street stalls, markets, restaurants, bars and assorted accommodation choices. Under Portuguese rule during the 16th century, this area was known as Candil. Later, when the British arrived, they renamed it as Colio. The current ... ", //www.makemytrip.com/travel-guide/mumbai/colaba-landmarks.html 
80,Indian Museum Ship Vikrant,['Museum'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Indian Museum Ship Vikrant is an aircraft carrier that was opened as a public museum during the Navy Week celebrations of 2012. Assembled in 1945 and purchased in 1957 by the Indian Navy, INS Vikrant is presently docked near the Gateway of India. It served the country during the Indo-Pak ... ", //www.makemytrip.com/travel-guide/mumbai/indian-museum-ship-vikrant-museum.html 
81,Mahalakshmi Temple,['Religious'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg,, //www.makemytrip.com/travel-guide/mumbai/mahalakshmi-temple-religious.html 
82,St. George Fort,['Monument'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," St. George Fort or Fort George is a crumbled structure that stands in the Fort area of Mumbai. Named in praise of King George III, the fort reminds of the British empire's early days in India. It was built in 1769 at the site of the Dongri Fort, as an ... ", //www.makemytrip.com/travel-guide/mumbai/st-george-fort-monuments.html 
83,Konkan,['Places to see around'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Konkan_Mumbai_417464_211_mumbai_218_168.jpg," Encompassing six coastal districts within its geographical territory, Konkan division forms an integral part of Maharashtra. Mumbai, Mumbai Suburbs, Sindhudurg, Raigad, Thane and Ratnagiri are the six districts that form this sprawling coastal belt. Bordering the western shore of the country, this region is replete with a plethora of natural ... ", //www.makemytrip.com/travel-guide/mumbai/konkan-places-to-see-around.html 
84,Alibag,['Places to see around'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Alibaugh_mumbai_417467_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/alibag-places-to-see-around.html 
85,Jehangir Art Gallery,['Cultural'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Jehangir-Art-Gallery_mumbai_417468_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/jehangir-art-gallery-cultural.html 
